"Amtlicher
Regional-
schlüssel (ARS)","Amtlicher
Gemeinde-schlüssel (AGS)"
10545489142,1054142
10545489154,1054154
10545489165,1054165
10545489166,1054166
10545489167,1054167
10545492,
10545492007,1054007
10545492023,1054023
10545492026,1054026
10545492032,1054032
10545492042,1054042
10545492043,1054043
10545492052,1054052
10545492054,1054054
10545492070,1054070
10545492084,1054084
10545492091,1054091
10545492096,1054096
10545492097,1054097
10545492099,1054099
10545492105,1054105
10545492106,1054106
10545492116,1054116
10545492119,1054119
10545492120,1054120
10545492130,1054130
10545492132,1054132
10545492141,1054141
10545492156,1054156
10545492157,1054157
10545492159,1054159
10545492161,1054161
10545492162,1054162
10545494,
10545494002,1054002
10545494006,1054006
10545494010,1054010
10545494012,1054012
10545494014,1054014
10545494019,1054019
10545494020,1054020
10545494024,1054024
10545494037,1054037
10545494038,1054038
10545494045,1054045
10545494059,1054059
10545494071,1054071
10545494075,1054075
10545494080,1054080
10545494093,1054093
10545494121,1054121
10545494128,1054128
10545494146,1054146
1055,
10550001001,1055001
10550004004,1055004
10550007007,1055007
10550010010,1055010
10550012012,1055012
10550016016,1055016
10550018018,1055018
10550021021,1055021
10550025025,1055025
10550028028,1055028
10550032032,1055032
10550033033,1055033
10550035035,1055035
10550040040,1055040
10550041041,1055041
10550042042,1055042
10550044044,1055044
10550046046,1055046
10555543,
10555543014,1055014
10555543015,1055015
10555543017,1055017
10555543022,1055022
10555543031,1055031
10555543043,1055043
10555546,
10555546006,1055006
10555546011,1055011
10555546020,1055020
10555546023,1055023
10555546027,1055027
10555546029,1055029
10555546036,1055036
10555591,
10555591002,1055002
10555591024,1055024
10555591037,1055037
10555591038,1055038
10555591039,1055039
1056,
10560002002,1056002
10560005005,1056005
10560015015,1056015
10560018018,1056018
10560021021,1056021
10560025025,1056025
10560039039,1056039
10560041041,1056041
10560043043,1056043
10560044044,1056044
10560048048,1056048
10560049049,1056049
10560050050,1056050
10565616,
10565616029,1056029
10565616030,1056030
10565616031,1056031
10565616033,1056033
10565616042,1056042
10565616045,1056045
10565616046,1056046
10565636,
10565636006,1056006
10565636010,1056010
10565636038,1056038
10565636051,1056051
10565660,
10565660003,1056003
10565660004,1056004
10565660008,1056008
10565660011,1056011
10565660014,1056014
10565660017,1056017
10565660022,1056022
10565660026,1056026
10565660034,1056034
10565660035,1056035
10565687,
10565687009,1056009
10565687013,1056013
10565687032,1056032
10565687040,1056040
10565687047,1056047
10565690,
10565690001,1056001
10565690016,1056016
10565690019,1056019
10565690020,1056020
10565690023,1056023
10565690024,1056024
10565690027,1056027
10565690028,1056028
10565690036,1056036
10565690037,1056037
1057,
10570001001,1057001
10570008008,1057008
10570009009,1057009
10570057057,1057057
10570062062,1057062
10570091091,1057091
10575727,
10575727004,1057004
10575727007,1057007
10575727013,1057013
10575727021,1057021
10575727026,1057026
10575727027,1057027
10575727029,1057029
10575727030,1057030
10575727034,1057034
10575727035,1057035
10575727038,1057038
10575727048,1057048
10575727055,1057055
10575727076,1057076
10575727082,1057082
10575739,
10575739015,1057015
10575739017,1057017
10575739022,1057022
10575739032,1057032
10575739045,1057045
10575739053,1057053
10575739065,1057065
10575739067,1057067
10575739089,1057089
10575747,
10575747002,1057002
10575747010,1057010
10575747011,1057011
10575747023,1057023
10575747031,1057031
10575747033,1057033
10575747037,1057037
10575747042,1057042
10575747046,1057046
10575747047,1057047
10575747054,1057054
10575747058,1057058
10575747059,1057059
10575747066,1057066
10575747070,1057070
10575747084,1057084
10575747086,1057086
10575755,
10575755003,1057003
10575755006,1057006
10575755012,1057012
