"Amtlicher
Regional-
schlüssel (ARS)","Amtlicher
Gemeinde-schlüssel (AGS)"
64310016016,6431016
64310017017,6431017
64310018018,6431018
64310019019,6431019
64310020020,6431020
64310021021,6431021
64310022022,6431022
6432,
64320001001,6432001
64320002002,6432002
64320003003,6432003
64320004004,6432004
64320005005,6432005
64320006006,6432006
64320007007,6432007
64320008008,6432008
64320009009,6432009
64320010010,6432010
64320011011,6432011
64320012012,6432012
64320013013,6432013
64320014014,6432014
64320015015,6432015
64320016016,6432016
64320017017,6432017
64320018018,6432018
64320019019,6432019
64320020020,6432020
64320021021,6432021
64320022022,6432022
64320023023,6432023
6433,
64330001001,6433001
64330002002,6433002
64330003003,6433003
64330004004,6433004
64330005005,6433005
64330006006,6433006
64330007007,6433007
64330008008,6433008
64330009009,6433009
64330010010,6433010
64330011011,6433011
64330012012,6433012
64330013013,6433013
64330014014,6433014
6434,
64340001001,6434001
64340002002,6434002
64340003003,6434003
64340004004,6434004
64340005005,6434005
64340006006,6434006
64340007007,6434007
64340008008,6434008
64340009009,6434009
64340010010,6434010
64340011011,6434011
64340012012,6434012
64340013013,6434013
6435,
64350001001,6435001
64350002002,6435002
64350003003,6435003
64350004004,6435004
64350005005,6435005
64350006006,6435006
64350007007,6435007
64350008008,6435008
64350009009,6435009
64350010010,6435010
64350011011,6435011
64350012012,6435012
64350013013,6435013
64350014014,6435014
64350015015,6435015
64350016016,6435016
64350017017,6435017
64350018018,6435018
64350019019,6435019
64350020020,6435020
64350021021,6435021
64350022022,6435022
64350023023,6435023
64350024024,6435024
64350025025,6435025
64350026026,6435026
64350027027,6435027
64350028028,6435028
64350029029,6435029
6436,
64360001001,6436001
64360002002,6436002
64360003003,6436003
64360004004,6436004
64360005005,6436005
64360006006,6436006
64360007007,6436007
64360008008,6436008
64360009009,6436009
64360010010,6436010
64360011011,6436011
64360012012,6436012
6437,
64370001001,6437001
64370003003,6437003
64370004004,6437004
64370005005,6437005
64370006006,6437006
64370007007,6437007
64370009009,6437009
64370010010,6437010
64370011011,6437011
64370012012,6437012
64370013013,6437013
64370016016,6437016
6438,
64380001001,6438001
64380002002,6438002
64380003003,6438003
64380004004,6438004
64380005005,6438005
64380006006,6438006
64380007007,6438007
64380008008,6438008
64380009009,6438009
64380010010,6438010
64380011011,6438011
64380012012,6438012
64380013013,6438013
6439,
64390001001,6439001
64390002002,6439002
64390003003,6439003
64390004004,6439004
64390005005,6439005
64390006006,6439006
64390007007,6439007
64390008008,6439008
64390009009,6439009
64390010010,6439010
64390011011,6439011
64390012012,6439012
64390013013,6439013
64390014014,6439014
64390015015,6439015
64390016016,6439016
64390017017,6439017
6440,
64400001001,6440001
64400002002,6440002
64400003003,6440003
64400004004,6440004
64400005005,6440005
64400006006,6440006
64400007007,6440007
64400008008,6440008
64400009009,6440009
64400010010,6440010
64400011011,6440011
64400012012,6440012
64400013013,6440013
64400014014,6440014
64400015015,6440015
64400016016,6440016
64400017017,6440017
64400018018,6440018
64400019019,6440019
64400020020,6440020
64400021021,6440021
64400022022,6440022
64400023023,6440023
64400024024,6440024
64400025025,6440025
65,
6531,
65310001001,6531001
65310002002,6531002
65310003003,6531003
65310004004,6531004
65310005005,6531005
65310006006,6531006
65310007007,6531007
65310008008,6531008
65310009009,6531009
65310010010,6531010
65310011011,6531011
65310012012,6531012
65310013013,6531013
65310014014,6531014
65310015015,6531015
65310016016,6531016
65310017017,6531017
65310018018,6531018
6532,
65320001001,6532001
65320002002,6532002
65320003003,6532003
65320004004,6532004
65320005005,6532005
65320006006,6532006
65320007007,6532007
65320008008,6532008
65320009009,6532009
65320010010,6532010
65320011011,6532011
65320012012,6532012
65320013013,6532013
65320014014,6532014
65320015015,6532015
65320016016,6532016
65320017017,6532017
65320018018,6532018
65320019019,6532019
65320020020,6532020
65320021021,6532021
65320022022,6532022
65320023023,6532023
6533,
65330001001,6533001
65330002002,6533002
65330003003,6533003
65330004004,6533004
65330005005,6533005
65330006006,6533006
65330007007,6533007
65330008008,6533008
65330009009,6533009
65330010010,6533010
65330011011,6533011
65330012012,6533012
65330013013,6533013
65330014014,6533014
65330015015,6533015
65330016016,6533016
65330017017,6533017
65330018018,6533018
65330019019,6533019
6534,
65340001001,6534001
65340002002,6534002
65340003003,6534003
65340004004,6534004
65340005005,6534005
65340006006,6534006
65340007007,6534007
65340008008,6534008
65340009009,6534009
65340010010,6534010
65340011011,6534011
65340012012,6534012
65340013013,6534013
65340014014,6534014
65340015015,6534015
65340016016,6534016
65340017017,6534017
65340018018,6534018
65340019019,6534019
65340020020,6534020
65340021021,6534021
65340022022,6534022
6535,
65350001001,6535001
65350002002,6535002
65350003003,6535003
65350004004,6535004
65350005005,6535005
65350006006,6535006
65350007007,6535007
65350008008,6535008
65350009009,6535009
65350010010,6535010
65350011011,6535011
65350012012,6535012
65350013013,6535013
65350014014,6535014
65350015015,6535015
65350016016,6535016
65350017017,6535017
65350018018,6535018
65350019019,6535019
66,
6611,
66110000000,6611000
6631,
66310001001,6631001
66310002002,6631002
66310003003,6631003
66310004004,6631004
66310005005,6631005
66310006006,6631006
66310007007,6631007
66310008008,6631008
66310009009,6631009
66310010010,6631010
66310011011,6631011
66310012012,6631012
66310013013,6631013
66310014014,6631014
66310015015,6631015
66310016016,6631016
66310017017,6631017
66310018018,6631018
66310019019,6631019
66310020020,6631020
66310021021,6631021
66310022022,6631022
66310023023,6631023
6632,
66320001001,6632001
66320002002,6632002
66320003003,6632003
66320004004,6632004
66320005005,6632005
66320006006,6632006
66320007007,6632007
66320008008,6632008
66320009009,6632009
66320010010,6632010
66320011011,6632011
66320012012,6632012
66320013013,6632013
66320014014,6632014
66320015015,6632015
66320016016,6632016
66320017017,6632017
66320018018,6632018
66320019019,6632019
66320020020,6632020
6633,
66330001001,6633001
66330002002,6633002
66330003003,6633003
66330004004,6633004
66330005005,6633005
66330006006,6633006
66330007007,6633007
66330008008,6633008
66330009009,6633009
66330010010,6633010
66330011011,6633011
66330012012,6633012
66330013013,6633013
66330014014,6633014
66330015015,6633015
66330016016,6633016
66330017017,6633017
66330018018,6633018
66330019019,6633019
66330020020,6633020
66330022022,6633022
66330023023,6633023
66330024024,6633024
66330025025,6633025
66330026026,6633026
66330028028,6633028
66330029029,6633029
66330030030,6633030
6634,
66340001001,6634001
66340002002,6634002
66340003003,6634003
66340004004,6634004
66340005005,6634005
66340006006,6634006
66340007007,6634007
66340008008,6634008
66340009009,6634009
66340010010,6634010
66340011011,6634011
66340012012,6634012
66340013013,6634013
66340014014,6634014
66340015015,6634015
66340016016,6634016
66340017017,6634017
66340018018,6634018
66340019019,6634019
66340020020,6634020
66340021021,6634021
66340022022,6634022
66340023023,6634023
66340024024,6634024
66340025025,6634025
66340026026,6634026
66340027027,6634027
6635,
66350001001,6635001
66350002002,6635002
66350003003,6635003
66350004004,6635004
66350006006,6635006
66350007007,6635007
66350008008,6635008
66350009009,6635009
66350010010,6635010
66350011011,6635011
66350012012,6635012
66350013013,6635013
66350014014,6635014
66350015015,6635015
66350016016,6635016
66350017017,6635017
66350018018,6635018
66350019019,6635019
66350020020,6635020
66350021021,6635021
66350022022,6635022
6636,
66360001001,6636001
66360002002,6636002
66360003003,6636003
66360004004,6636004
66360005005,6636005
66360006006,6636006
66360007007,6636007
66360008008,6636008
66360009009,6636009
66360010010,6636010
66360011011,6636011
66360012012,6636012
66360013013,6636013
66360014014,6636014
66360015015,6636015
66360016016,6636016
7,
7111,
71110000000,7111000
7131,
71310007007,7131007
71310070070,7131070
71310077077,7131077
71310090090,7131090
71315001,
71315001001,7131001
71315001004,7131004
71315001005,7131005
71315001008,7131008
71315001009,7131009
71315001015,7131015
71315001018,7131018
71315001021,7131021
71315001022,7131022
71315001026,7131026
71315001028,7131028
71315001030,7131030
71315001032,7131032
71315001033,7131033
71315001034,7131034
71315001037,7131037
71315001042,7131042
71315001044,7131044
71315001050,7131050
71315001051,7131051
71315001052,7131052
71315001058,7131058
71315001062,7131062
71315001065,7131065
71315001066,7131066
71315001069,7131069
71315001072,7131072
71315001074,7131074
71315001075,7131075
71315001076,7131076
71315001079,7131079
71315001082,7131082
71315001083,7131083
71315001084,7131084
71315001085,7131085
71315001086,7131086
71315001501,7131501
71315002,
71315002002,7131002
71315002003,7131003
71315002011,7131011
71315002017,7131017
71315002027,7131027
71315002029,7131029
71315002036,7131036
71315002039,7131039
71315002040,7131040
71315002047,7131047
71315002049,7131049
71315002068,7131068
71315003,
71315003006,7131006
71315003014,7131014
71315003025,7131025
71315003081,7131081
71315004,
71315004016,7131016
71315004041,7131041
71315004054,7131054
71315004055,7131055
71315004059,7131059
71315004060,7131060
71315004073,7131073
71315004201,7131201
71315004202,7131202
71315004204,7131204
71315004205,7131205
71315004206,7131206
71315004208,7131208
71315004209,7131209
71315004210,7131210
71315004211,7131211
71315004502,7131502
7132,
71325003,
71325003018,7132018
71325003019,7132019
71325003026,7132026
71325003036,7132036
71325003050,7132050
71325003068,7132068
71325003075,7132075
71325003079,7132079
71325003101,7132101
71325003113,7132113
71325006,
71325006007,7132007
71325006010,7132010
71325006013,7132013
71325006014,7132014
71325006028,7132028
71325006034,7132034
71325006038,7132038
71325006044,7132044
71325006077,7132077
71325006091,7132091
71325006096,7132096
71325006102,7132102
71325007,
71325007012,7132012
71325007037,7132037
71325007045,7132045
71325007063,7132063
71325007072,7132072
71325007076,7132076
71325008,
71325008008,7132008
71325008011,7132011
71325008054,7132054
71325008080,7132080
71325008105,7132105
71325008117,7132117
71325009,
71325009002,7132002
71325009006,7132006
71325009020,7132020
71325009024,7132024
71325009025,7132025
71325009030,7132030
71325009039,7132039
71325009042,7132042
71325009059,7132059
71325009066,7132066
71325009071,7132071
71325009073,7132073
71325009095,7132095
71325009098,7132098
71325009107,7132107
71325009108,7132108
71325009111,7132111
71325010,
71325010001,7132001
71325010004,7132004
71325010005,7132005
71325010009,7132009
71325010015,7132015
71325010016,7132016
71325010017,7132017
71325010022,7132022
71325010023,7132023
71325010027,7132027
71325010029,7132029
71325010031,7132031
71325010032,7132032
71325010033,7132033
71325010035,7132035
71325010040,7132040
71325010041,7132041
71325010043,7132043
71325010046,7132046
71325010047,7132047
71325010048,7132048
71325010049,7132049
71325010051,7132051
71325010052,7132052
71325010053,7132053
71325010055,7132055
71325010056,7132056
71325010057,7132057
71325010058,7132058
71325010060,7132060
71325010061,7132061
71325010062,7132062
71325010064,7132064
71325010065,7132065
71325010067,7132067
71325010069,7132069
71325010070,7132070
71325010078,7132078
71325010081,7132081
71325010082,7132082
71325010083,7132083
71325010085,7132085
71325010086,7132086
71325010087,7132087
71325010088,7132088
71325010089,7132089
71325010090,7132090
71325010092,7132092
71325010093,7132093
71325010094,7132094
71325010097,7132097
71325010099,7132099
71325010100,7132100
71325010103,7132103
71325010104,7132104
71325010106,7132106
71325010109,7132109
71325010110,7132110
71325010112,7132112
71325010114,7132114
71325010115,7132115
71325010116,7132116
71325010118,7132118
71325010119,7132119
71325010201,7132201
71325010501,7132501
71325010502,7132502
7133,
71330006006,7133006
71335001,
71335001003,7133003
71335001012,7133012
71335001030,7133030
71335001031,7133031
71335001032,7133032
71335001037,7133037
71335001039,7133039
71335001045,7133045
71335001069,7133069
71335001078,7133078
71335001080,7133080
71335001104,7133104
71335001106,7133106
71335006,
71335006002,7133002
71335006004,7133004
71335006013,7133013
71335006014,7133014
71335006015,7133015
71335006019,7133019
71335006021,7133021
71335006027,7133027
71335006033,7133033
71335006036,7133036
71335006040,7133040
71335006044,7133044
71335006048,7133048
71335006061,7133061
71335006068,7133068
71335006070,7133070
71335006071,7133071
71335006074,7133074
71335006075,7133075
71335006086,7133086
71335006088,7133088
71335006089,7133089
71335006098,7133098
71335006099,7133099
71335006100,7133100
71335006101,7133101
71335006105,7133105
71335006107,7133107
71335006109,7133109
71335006112,7133112
71335006115,7133115
71335006117,7133117
71335009,
71335009008,7133008
71335009010,7133010
71335009016,7133016
71335009038,7133038
71335009041,7133041
71335009042,7133042
71335009043,7133043
71335009046,7133046
71335009047,7133047
71335009052,7133052
71335009059,7133059
71335009063,7133063
71335009073,7133073
71335009077,7133077
71335009096,7133096
71335009113,7133113
71335009201,7133201
71335009202,7133202
71335009203,7133203
71335009204,7133204
71335009205,7133205
71335010,
71335010001,7133001
71335010005,7133005
71335010009,7133009
71335010011,7133011
71335010017,7133017
71335010020,7133020
71335010022,7133022
71335010024,7133024
71335010049,7133049
71335010050,7133050
71335010051,7133051
71335010053,7133053
71335010055,7133055
71335010057,7133057
71335010058,7133058
71335010060,7133060
71335010062,7133062
71335010064,7133064
71335010065,7133065
71335010066,7133066
71335010067,7133067
71335010072,7133072
71335010076,7133076
71335010081,7133081
71335010082,7133082
71335010083,7133083
71335010084,7133084
71335010090,7133090
71335010092,7133092
71335010094,7133094
71335010102,7133102
71335010111,7133111
71335010116,7133116
71335010501,7133501
71335011,
71335011018,7133018
71335011023,7133023
71335011025,7133025
71335011026,7133026
71335011028,7133028
71335011035,7133035
71335011054,7133054
71335011056,7133056
71335011085,7133085
71335011087,7133087
71335011091,7133091
71335011093,7133093
71335011095,7133095
71335011103,7133103
71335011108,7133108
71335011110,7133110
71335011114,7133114
7134,
71340045045,7134045
71345001,
71345001005,7134005
71345001007,7134007
71345001008,7134008
71345001021,7134021
71345001026,7134026
71345001027,7134027
71345001033,7134033
71345001036,7134036
71345001051,7134051
71345001054,7134054
71345001068,7134068
71345001073,7134073
71345001074,7134074
71345001075,7134075
71345002,
71345002001,7134001
71345002002,7134002
71345002010,7134010
71345002011,7134011
71345002015,7134015
71345002016,7134016
71345002018,7134018
71345002020,7134020
71345002022,7134022
71345002023,7134023
71345002024,7134024
71345002029,7134029
71345002031,7134031
71345002034,7134034
71345002042,7134042
71345002048,7134048
71345002050,7134050
71345002053,7134053
71345002057,7134057
71345002058,7134058
71345002061,7134061
71345002062,7134062
71345002063,7134063
71345002070,7134070
71345002071,7134071
71345002072,7134072
71345002078,7134078
71345002080,7134080
71345002084,7134084
71345002085,7134085
71345002094,7134094
71345005,
71345005003,7134003
71345005004,7134004
71345005006,7134006
71345005009,7134009
71345005012,7134012
71345005013,7134013
71345005014,7134014
71345005017,7134017
71345005019,7134019
71345005025,7134025
71345005028,7134028
71345005030,7134030
71345005032,7134032
71345005035,7134035
71345005037,7134037
71345005038,7134038
71345005039,7134039
71345005040,7134040
71345005041,7134041
71345005043,7134043
71345005044,7134044
71345005046,7134046
71345005047,7134047
71345005049,7134049
71345005052,7134052
71345005055,7134055
71345005056,7134056
71345005059,7134059
71345005060,7134060
71345005064,7134064
71345005065,7134065
71345005066,7134066
71345005067,7134067
71345005069,7134069
71345005076,7134076
71345005077,7134077
71345005079,7134079
71345005081,7134081
71345005082,7134082
71345005083,7134083
71345005086,7134086
71345005087,7134087
71345005088,7134088
71345005089,7134089
71345005090,7134090
71345005091,7134091
71345005092,7134092
71345005093,7134093
71345005095,7134095
71345005502,7134502
7135,
71355001,
71355001007,7135007
71355001012,7135012
71355001015,7135015
71355001017,7135017
71355001020,7135020
71355001021,7135021
71355001024,7135024
71355001025,7135025
71355001027,7135027
71355001029,7135029
71355001036,7135036
71355001049,7135049
71355001053,7135053
71355001056,7135056
71355001060,7135060
71355001065,7135065
71355001066,7135066
71355001069,7135069
71355001072,7135072
71355001079,7135079
71355001082,7135082
71355001086,7135086
71355001090,7135090
71355002,
71355002009,7135009
71355002011,7135011
71355002014,7135014
71355002016,7135016
71355002022,7135022
71355002023,7135023
71355002026,7135026
71355002028,7135028
71355002031,7135031
71355002033,7135033
71355002038,7135038
71355002040,7135040
71355002042,7135042
71355002043,7135043
71355002044,7135044
71355002045,7135045
71355002046,7135046
71355002051,7135051
71355002052,7135052
71355002058,7135058
71355002062,7135062
71355002067,7135067
71355002075,7135075
71355002084,7135084
71355002093,7135093
71355002502,7135502
71355003,
71355003002,7135002
71355003005,7135005
71355003008,7135008
71355003018,7135018
71355003030,7135030
71355003034,7135034
71355003035,7135035
71355003048,7135048
71355003057,7135057
71355003078,7135078
71355003083,7135083
71355003085,7135085
71355003087,7135087
71355003089,7135089
71355003091,7135091
71355003501,7135501
71355005,
71355005001,7135001
71355005003,7135003
71355005004,7135004
71355005010,7135010
71355005013,7135013
71355005019,7135019
71355005032,7135032
71355005037,7135037
71355005039,7135039
71355005041,7135041
71355005054,7135054
71355005061,7135061
71355005064,7135064
71355005068,7135068
71355005070,7135070
71355005071,7135071
71355005073,7135073
71355005074,7135074
71355005076,7135076
71355005077,7135077
71355005080,7135080
71355005081,7135081
71355005088,7135088
71355005092,7135092
7137,
71370003003,7137003
71370068068,7137068
71370203203,7137203
71375001,
71375001056,7137056
71375001057,7137057
71375001081,7137081
71375001088,7137088
71375001096,7137096
71375002,
71375002023,7137023
71375002027,7137027
71375002029,7137029
71375002030,7137030
71375002041,7137041
71375002048,7137048
71375002053,7137053
71375002065,7137065
71375002070,7137070
71375002080,7137080
71375002086,7137086
71375002087,7137087
71375002089,7137089
71375002095,7137095
71375002102,7137102
71375002112,7137112
71375002114,7137114
71375002501,7137501
71375003,
71375003001,7137001
71375003004,7137004
71375003006,7137006
71375003007,7137007
71375003011,7137011
71375003014,7137014
71375003019,7137019
71375003025,7137025
71375003034,7137034
71375003035,7137035
71375003036,7137036
71375003043,7137043
71375003049,7137049
71375003055,7137055
71375003060,7137060
71375003061,7137061
71375003063,7137063
71375003066,7137066
71375003074,7137074
71375003077,7137077
71375003079,7137079
71375003092,7137092
71375003097,7137097
71375003099,7137099
71375003105,7137105
71375003110,7137110
71375003113,7137113
71375004,
71375004008,7137008
71375004069,7137069
71375004093,7137093
71375004101,7137101
71375004106,7137106
71375007,
71375007218,7137218
71375007224,7137224
71375007226,7137226
71375007229,7137229
71375008,
71375008202,7137202
71375008209,7137209
71375008211,7137211
71375008216,7137216
71375008222,7137222
71375008225,7137225
71375008228,7137228
71375009,
71375009201,7137201
71375009204,7137204
71375009205,7137205
71375009206,7137206
71375009207,7137207
71375009208,7137208
71375009212,7137212
71375009214,7137214
71375009215,7137215
71375009217,7137217
71375009219,7137219
71375009220,7137220
71375009221,7137221
71375009223,7137223
71375009227,7137227
71375009230,7137230
71375009231,7137231
71375009504,7137504
7138,
71380045045,7138045
71385001,
71385001003,7138003
71385001044,7138044
71385001077,7138077
71385001080,7138080
71385002,
71385002004,7138004
71385002024,7138024
71385002038,7138038
71385002063,7138063
71385003,
71385003012,7138012
71385003023,7138023
71385003031,7138031
71385003034,7138034
71385003069,7138069
71385003201,7138201
71385004,
71385004009,7138009
71385004037,7138037
71385004041,7138041
71385004055,7138055
71385004068,7138068
71385004075,7138075
71385004501,7138501
71385005,
71385005011,7138011
71385005013,7138013
71385005014,7138014
71385005025,7138025
71385005027,7138027
71385005040,7138040
71385005048,7138048
71385005050,7138050
71385005052,7138052
71385005057,7138057
71385005058,7138058
71385005059,7138059
71385005064,7138064
71385005070,7138070
71385005074,7138074
71385005078,7138078
71385007,
71385007008,7138008
71385007019,7138019
71385007062,7138062
71385007073,7138073
71385009,
71385009002,7138002
71385009005,7138005
71385009006,7138006
71385009007,7138007
71385009010,7138010
71385009015,7138015
71385009026,7138026
71385009030,7138030
71385009036,7138036
71385009042,7138042
71385009043,7138043
71385009047,7138047
71385009053,7138053
71385009054,7138054
71385009061,7138061
71385009065,7138065
71385009066,7138066
71385009071,7138071
71385009072,7138072
71385009076,7138076
7140,
71400501501,7140501
71405003,
71405003001,7140001
71405003009,7140009
71405003010,7140010
71405003018,7140018
71405003021,7140021
71405003042,7140042
71405003046,7140046
71405003055,7140055
71405003064,7140064
71405003073,7140073
71405003095,7140095
71405003131,7140131
71405003147,7140147
71405003153,7140153
71405003202,7140202
71405003204,7140204
71405003502,7140502
71405003503,7140503
71405003504,7140504
71405004,
71405004006,7140006
71405004007,7140007
71405004024,7140024
71405004028,7140028
71405004029,7140029
71405004030,7140030
71405004040,7140040
71405004041,7140041
71405004044,7140044
71405004048,7140048
71405004049,7140049
71405004050,7140050
71405004053,7140053
71405004062,7140062
71405004067,7140067
71405004071,7140071
71405004081,7140081
71405004082,7140082
71405004086,7140086
71405004090,7140090
71405004094,7140094
71405004105,7140105
71405004107,7140107
71405004109,7140109
71405004111,7140111
71405004120,7140120
71405004122,7140122
71405004128,7140128
71405004129,7140129
71405004130,7140130
71405004135,7140135
71405004141,7140141
71405004145,7140145
71405004146,7140146
71405004151,7140151
71405004154,7140154
71405004159,7140159
71405004163,7140163
71405004164,7140164
71405004165,7140165
71405008,
71405008002,7140002
71405008003,7140003
71405008008,7140008
71405008011,7140011
71405008012,7140012
71405008015,7140015
71405008020,7140020
71405008023,7140023
71405008027,7140027
71405008035,7140035
71405008037,7140037
71405008039,7140039
71405008056,7140056
71405008058,7140058
71405008065,7140065
71405008068,7140068
71405008070,7140070
71405008076,7140076
71405008077,7140077
71405008079,7140079
71405008085,7140085
71405008092,7140092
71405008096,7140096
71405008099,7140099
71405008100,7140100
71405008101,7140101
71405008106,7140106
71405008113,7140113
71405008115,7140115
71405008118,7140118
71405008119,7140119
71405008121,7140121
71405008123,7140123
71405008125,7140125
71405008126,7140126
71405008127,7140127
71405008134,7140134
71405008138,7140138
71405008139,7140139
71405008144,7140144
71405008148,7140148
71405008150,7140150
71405008158,7140158
71405008166,7140166
71405009,
71405009005,7140005
71405009014,7140014
71405009016,7140016
71405009025,7140025
71405009031,7140031
71405009036,7140036
71405009043,7140043
71405009045,7140045
71405009047,7140047
71405009060,7140060
71405009063,7140063
71405009075,7140075
71405009080,7140080
71405009084,7140084
71405009087,7140087
71405009089,7140089
71405009093,7140093
71405009098,7140098
71405009102,7140102
71405009104,7140104
71405009108,7140108
71405009110,7140110
71405009112,7140112
71405009116,7140116
71405009117,7140117
71405009133,7140133
71405009140,7140140
71405009149,7140149
71405009155,7140155
71405009156,7140156
71405009161,7140161
71405009201,7140201
71405009205,7140205
7141,
71410075075,7141075
71415003,
71415003002,7141002
71415003005,7141005
71415003014,7141014
71415003021,7141021
71415003022,7141022
71415003029,7141029
71415003030,7141030
71415003038,7141038
71415003045,7141045
71415003049,7141049
71415003052,7141052
71415003053,7141053
71415003057,7141057
71415003059,7141059
71415003061,7141061
71415003062,7141062
71415003064,7141064
71415003076,7141076
71415003077,7141077
71415003124,7141124
71415003130,7141130
71415003133,7141133
71415003503,7141503
71415007,
71415007009,7141009
71415007012,7141012
71415007015,7141015
71415007019,7141019
71415007035,7141035
71415007037,7141037
71415007040,7141040
71415007047,7141047
71415007055,7141055
71415007060,7141060
71415007063,7141063
71415007067,7141067
71415007070,7141070
71415007078,7141078
71415007080,7141080
71415007084,7141084
71415007085,7141085
71415007092,7141092
71415007094,7141094
71415007097,7141097
71415007100,7141100
71415007104,7141104
71415007105,7141105
71415007107,7141107
71415007110,7141110
71415007116,7141116
71415007120,7141120
71415007131,7141131
71415007134,7141134
71415007137,7141137
71415007140,7141140
71415007502,7141502
71415009,
71415009004,7141004
71415009016,7141016
71415009023,7141023
71415009024,7141024
71415009031,7141031
71415009042,7141042
71415009066,7141066
71415009069,7141069
71415009072,7141072
71415009079,7141079
71415009083,7141083
71415009099,7141099
71415009108,7141108
71415009109,7141109
71415009112,7141112
71415009114,7141114
71415009115,7141115
71415009121,7141121
71415009122,7141122
71415009136,7141136
71415009138,7141138
71415009501,7141501
71415010,
71415010003,7141003
71415010006,7141006
71415010008,7141008
71415010025,7141025
71415010026,7141026
71415010027,7141027
71415010033,7141033
71415010041,7141041
71415010044,7141044
71415010046,7141046
71415010058,7141058
71415010071,7141071
71415010082,7141082
71415010086,7141086
71415010087,7141087
71415010091,7141091
71415010098,7141098
71415010103,7141103
71415010106,7141106
71415010111,7141111
71415010127,7141127
71415010128,7141128
71415010129,7141129
71415010132,7141132
71415010135,7141135
71415010139,7141139
71415010141,7141141
71415010201,7141201
71415011,
71415011001,7141001
71415011010,7141010
71415011011,7141011
71415011013,7141013
71415011018,7141018
71415011020,7141020
71415011032,7141032
71415011034,7141034
71415011036,7141036
71415011039,7141039
71415011043,7141043
71415011050,7141050
71415011051,7141051
71415011054,7141054
71415011065,7141065
71415011068,7141068
71415011073,7141073
71415011074,7141074
71415011081,7141081
71415011088,7141088
71415011089,7141089
71415011093,7141093
71415011095,7141095
71415011096,7141096
71415011101,7141101
71415011102,7141102
71415011113,7141113
71415011117,7141117
71415011118,7141118
71415011125,7141125
71415011126,7141126
7143,
71435001,
71435001206,7143206
71435001211,7143211
71435001216,7143216
71435001222,7143222
71435001227,7143227
71435001231,7143231
71435001234,7143234
71435001243,7143243
71435001248,7143248
71435001253,7143253
71435001255,7143255
71435001264,7143264
71435001270,7143270
71435001277,7143277
71435001279,7143279
71435001280,7143280
71435001297,7143297
71435001300,7143300
71435002,
71435002202,7143202
71435002204,7143204
71435002205,7143205
71435002212,7143212
71435002215,7143215
71435002223,7143223
71435002225,7143225
71435002229,7143229
71435002235,7143235
71435002236,7143236
71435002240,7143240
71435002241,7143241
71435002250,7143250
71435002252,7143252
71435002257,7143257
71435002258,7143258
71435002259,7143259
71435002260,7143260
71435002261,7143261
71435002262,7143262
71435002265,7143265
71435002267,7143267
71435002268,7143268
71435002269,7143269
71435002276,7143276
71435002287,7143287
71435002294,7143294
71435002296,7143296
71435002299,7143299
71435002301,7143301
71435002306,7143306
71435002310,7143310
71435002313,7143313
71435003,
71435003030,7143030
71435003031,7143031
71435003032,7143032
71435003040,7143040
71435004,
71435004005,7143005
71435004008,7143008
71435004013,7143013
71435004020,7143020
71435004021,7143021
71435004023,7143023
71435004024,7143024
71435004026,7143026
71435004027,7143027
71435004033,7143033
71435004034,7143034
71435004036,7143036
71435004039,7143039
71435004048,7143048
71435004051,7143051
71435004052,7143052
71435004053,7143053
71435004054,7143054
71435004055,7143055
71435004057,7143057
71435004065,7143065
71435004071,7143071
71435004072,7143072
71435004077,7143077
71435004079,7143079
71435005,
71435005001,7143001
71435005006,7143006
71435005007,7143007
71435005009,7143009
71435005038,7143038
71435005050,7143050
71435005059,7143059
71435005062,7143062
71435005068,7143068
71435005082,7143082
71435005084,7143084
71435006,
71435006214,7143214
71435006218,7143218
71435006237,7143237
71435006244,7143244
71435006245,7143245
71435006246,7143246
71435006256,7143256
71435006271,7143271
71435006272,7143272
71435006274,7143274
71435006278,7143278
71435006282,7143282
71435006283,7143283
71435006285,7143285
71435006286,7143286
71435006291,7143291
71435006292,7143292
71435006295,7143295
71435006302,7143302
71435006303,7143303
71435006309,7143309
71435006311,7143311
71435006315,7143315
71435007,
71435007015,7143015
71435007018,7143018
71435007019,7143019
71435007022,7143022
71435007025,7143025
71435007029,7143029
71435007041,7143041
71435007044,7143044
71435007045,7143045
71435007046,7143046
71435007056,7143056
71435007061,7143061
71435007064,7143064
71435007066,7143066
71435007067,7143067
71435007069,7143069
71435007075,7143075
71435007078,7143078
71435007085,7143085
71435007221,7143221
71435007305,7143305
71435008,
71435008011,7143011
71435008037,7143037
71435008058,7143058
71435008074,7143074
71435008080,7143080
71435008203,7143203
71435008208,7143208
71435008210,7143210
71435008220,7143220
71435008232,7143232
71435008239,7143239
71435008251,7143251
71435008263,7143263
71435008266,7143266
71435008273,7143273
71435008281,7143281
71435008290,7143290
71435008304,7143304
71435008316,7143316
71435008501,7143501
71435008502,7143502
71435009,
71435009200,7143200
71435009207,7143207
71435009209,7143209
71435009213,7143213
71435009219,7143219
71435009224,7143224
71435009226,7143226
71435009228,7143228
71435009230,7143230
71435009233,7143233
71435009238,7143238
71435009242,7143242
71435009247,7143247
71435009249,7143249
71435009254,7143254
71435009284,7143284
71435009288,7143288
71435009289,7143289
71435009293,7143293
71435009298,7143298
71435009307,7143307
71435009308,7143308
71435009312,7143312
71435009314,7143314
71435010,
71435010003,7143003
71435010010,7143010
71435010012,7143012
